Latitude, Longitude
42.961806,-88.091396
19.247753,72.984493
40.407231,-79.871438
55.75766,-4.16273
50.444048,-119.19747
40.619882,-74.475847
56.125078,-3.938895
35.175682,-101.815602
42.431078,-83.157992
26.076085,-80.249059
14.695346,121.125978
36.043915,-115.056226
37.138786,-80.552037
29.756484,-90.819776
43.077852,-89.416256
-30.152466,30.061727
29.532103,-95.55307
53.124914,-0.644038
35.214367,-80.82313
30.188838,-97.830627
32.80548,-83.698819
41.530524,-72.059694
41.661964,-83.615025
53.539331,-2.703392
38.674939,-85.177021
42.347139,-83.157796
10.025135,-84.347491
43.765474,-88.407423
51.495414,-0.227835
25.870472,-80.309452
33.491805,-112.076073
41.498578,-81.677473
55.867256,-4.264887
55.451566,-4.247016
33.532563,-84.321747
29.660532,-95.659474
33.44863,-86.884302
2.262172,102.300984
14.628781,120.972311
57.688004,-4.171704
19.799909,85.829948
35.605415,-77.364561
51.999888,-0.760495
41.719094,-87.65406
36.123956,-115.153738
19.185747,72.839285
41.335579,-81.43611
55.951375,-3.200153
34.102654,-118.344105
51.610601,-2.961309
51.451333,-2.588147
51.872631,-2.223237
33.831514,-118.331628
51.613029,-0.068659
39.684971,-75.04609
46.562634,-87.406951
37.671568,-97.223602
-37.877506,145.0343
35.177255,-80.717111
33.182241,-84.148186
-33.922382,18.424454
54.876492,-2.901467
30.570158,-96.283904
40.742508,-73.989878
41.685318,-88.07892
42.085181,-80.138359
33.973458,-81.315289
26.25667,-80.263224
39.266692,-81.546905
51.526777,-0.283797
38.560398,-121.424356
54.603096,-5.967134
36.170409,-86.513245
47.609381,-122.342287
-33.817365,151.180387
38.918444,1.443351
13.070166,77.58587
53.369025,-6.581351
39.796675,-84.029921
52.264674,-1.519001
42.7542,-71.334639
29.381029,-98.37363
45.547574,10.721132
34.106878,-118.236177
51.664724,-3.040636
30.592965,-96.337572
41.891305,-83.404772
41.595303,-87.599749
52.541959,-1.971924
55.004445,-1.666415
-26.099742,28.180766
42.692008,23.293413
53.271815,-6.202243
42.199791,-83.212666
52.646923,-1.200354
51.777552,-0.803086
51.760265,-0.217798
42.383349,-71.77438
32.25587,-90.416123
43.013961,-88.111722
36.239314,-80.833874
32.659762,-116.966601
41.479804,-73.047879
39.048253,-77.435419
47.942102,-97.028212
-25.03468,31.16411
51.51404,-0.080575
-6.273257,106.959141
55.933216,-3.063332
50.880609,-1.016114
40.68639,-75.252998
40.713918,-73.939801
35.512793,-97.641114
39.359362,-111.573744
52.082842,-1.93315
26.209209,-98.349662
34.048712,-118.240118
33.579053,-101.877943
14.659816,121.058699
51.630569,-3.977419
52.96709,-1.151897
38.948123,-122.622922
51.433065,-0.950161
39.773317,-86.151426
33.473167,-86.860276
33.780063,-118.151979
40.618597,-74.425024
41.418093,-82.702753
14.740786,121.004275
53.706756,-1.882706
1.438448,103.78113
39.294406,-76.630105
47.189026,-121.048505
42.259222,-83.170568
33.966531,-118.078968
37.676763,-122.077967
53.511146,-6.400066
54.031737,-6.402316
33.945946,-117.460922
41.836124,-71.450102
33.594885,-85.0491
40.614939,-79.741517
53.180362,-2.938602
41.582908,-87.805345
29.575868,-82.39252
29.404699,-98.640077
51.534802,-0.117509
43.132985,-91.7242
40.3374,-75.957714
51.354225,-0.16043
46.878155,-96.758708
29.782818,-95.770266
33.397533,-111.872186
52.866994,-3.044586
3.135227,101.675398
40.397015,-111.796496
41.455883,-87.45877
41.631547,-93.630694
38.27702,-90.80554
43.105779,-78.908559
33.621209,-91.793307
34.042542,-84.5835
-33.89296,18.552154
43.08168,-76.155244
40.899221,-74.000186
35.240004,-80.88906
38.218012,-77.519796
31.787394,-106.366497
34.237947,-118.46788
22.266657,114.251281
41.485311,-81.787301
32.427041,-93.71869
36.674934,-121.666036
55.959815,-3.949262
33.590945,-112.11559
37.542956,-77.459831
41.147297,-74.011567
40.694242,-73.923178
22.288124,114.148952
53.345958,-6.238908
39.290655,-84.464818
53.344168,-6.401156
51.253292,-0.591577
61.156224,-149.902224
53.192286,-6.120373
32.50199,-96.99267
40.295975,-83.076981
43.005798,-76.197761
25.237518,55.279185
53.488411,-6.897504
28.639248,77.291958
47.171197,-122.552228
54.59998,-3.12713
53.503696,-2.176587
34.524678,-117.357674
39.098425,-94.581813
29.740941,-95.502272
35.621508,-78.726452
28.100589,-82.529004
26.626875,-80.236781
53.485141,-113.513124
36.161147,-115.055443
42.970632,-85.775978
31.698827,-106.290737
33.119043,-96.64446
55.494967,-4.613325
-38.095701,145.485283
53.751483,-3.023426
51.387137,0.550235
41.157875,-96.009034
14.66606,121.067452
35.652535,-88.806989
35.593446,-97.546547
-31.900844,152.470472
-37.980595,145.164071
2.269283,102.294762
12.896161,77.557993
51.709592,-1.980846
38.327464,-85.730557
40.764127,-73.826035
25.753809,-80.374747
21.231424,81.369391
25.958156,-97.431184
40.692272,-73.911397
33.770991,-118.166468
40.846403,-73.915571
36.423914,-5.150641
54.706317,-1.596471
51.435524,-2.605806
39.750344,-104.993132
39.124514,-121.612185
39.7111,-75.081552
35.997357,-115.257833
33.41652,-86.773456
42.094147,-71.873503
-33.845774,18.639164
49.279177,-123.105695
27.73338,-82.686282
51.421055,-0.206572
52.665104,-3.145842
52.812913,-2.09389
32.799502,-116.944209
44.798023,-93.523065
43.853741,-79.352222
-1.256259,36.792332
40.725489,-74.176883
40.962005,-73.848285
32.218886,-98.219658
53.324979,-3.833177
33.795127,-118.274424
40.875903,-73.058398
3.20833,101.630062
42.87819,-82.151713
40.815275,-73.643268
39.32595,-82.104233
34.284797,-119.274272
53.419691,-1.442587
32.022959,-81.064013
26.990799,-82.000998
45.524839,-122.53839
56.040885,-3.412195
-37.870613,145.084793
35.346393,-80.948769
51.544756,-3.37357
36.83881,-119.849201
40.755071,-73.987021
47.357433,-122.19966
40.724948,-73.735011
40.719323,-73.961632
12.968822,77.577195
39.78279,-84.063185
40.613627,-74.127983
28.502102,77.16831
28.56059,77.266584
27.760867,-98.049813
52.064597,-0.546347
18.427867,-66.45495
36.062427,-78.560977
51.920104,0.927404
47.214202,-122.538567
28.579376,-81.318453
51.321657,-2.197405
55.931253,-3.073111
52.184171,-2.186889
40.646484,-73.776641
42.280708,-85.615951
41.958674,-87.787825
28.174004,-82.665249
29.156294,-98.184004
38.665431,-121.078484
51.423465,-2.630626
1.436817,103.83086
42.361339,-83.388959
33.798386,-118.32173
27.943021,-82.482882
34.098095,-117.769479
34.996093,-81.969974
-1.330192,36.924589
42.177034,-72.596717
42.46235,-70.961211
51.407366,-0.296411
37.770108,-120.826644
36.134829,-86.856528
51.443819,0.253524
37.441873,-122.172752
38.819662,-77.218035
-26.192974,28.036873
53.658144,-2.625304
33.734239,-116.250125
43.137705,-70.706109
33.602278,-83.960071
-29.700154,31.004418
24.939997,67.03769
40.547218,-74.319487
47.361672,-122.196723
51.48577,0.006712
53.794554,-2.264403
40.055373,-82.851845
-33.806538,150.796591
40.747064,-73.994843
40.7052,-74.151186
53.442781,-2.771382
36.206632,-86.323792
36.212503,-86.693157
37.967543,-121.707661
55.899227,-3.712436
39.361998,-74.599483
37.995343,-122.331493
40.719869,-74.189971
40.08269,-74.08245
55.951437,-3.196792
43.064848,-87.950072
39.748013,-84.144179
14.676683,121.067071
55.620126,-4.502662
36.943983,-86.458999
50.808235,-0.537652
41.385578,2.111042
50.464452,-3.529545
28.671006,77.138847
32.773169,-97.359655
53.305256,-6.331084
53.305603,-6.321376
36.772644,-81.779715
34.15685,-118.489376
42.117923,-71.855447
26.241008,-80.277742
32.180785,-95.868563
23.0549,72.521536
37.949841,-87.515048
33.363025,-82.084519
42.954746,-83.643783
38.917311,-104.821322
39.217314,-76.878835
19.247753,72.984493
28.594408,77.300832
55.602769,13.005341
53.730947,-7.775544
39.151569,-80.039027
40.724699,-89.578452
40.726874,-73.450934
-33.855969,18.496475
29.655179,-82.415215
43.855261,-79.53372
53.454678,-1.434005
37.993634,-122.239459
39.190469,-96.580214
42.228907,-96.468377
34.270061,-118.887526
30.094815,-95.995192
37.706727,-121.094205
42.248199,-82.975166
6.659107,-1.613408
42.593117,-72.214189
29.936269,-90.034374
34.090227,-117.369845
33.689742,-80.225508
25.948849,-97.50019
51.775542,-2.556378
41.746115,-88.24756
46.73892,-92.221495
33.389546,-111.721732
38.741995,-77.574234
42.214764,-71.856531
47.661247,-122.317084
29.863158,-90.074146
25.034577,-77.34008
17.733736,83.306209
47.040705,-122.959791
18.030733,-76.829751
36.957194,-101.069087
30.119777,-81.608878
33.360574,-111.613509
33.41823,-82.144101
43.58953,-79.718248
47.27801,-122.476946
54.580561,-5.93495
1.350701,103.720332
-33.873055,151.206233
42.550897,-83.311599
27.362128,-82.540899
52.581297,-1.131642
55.946153,-3.135422
46.543407,-84.355543
39.752739,-121.870554
55.843644,-4.425691
29.805434,-81.400761
53.813484,-1.546581
33.777774,-118.140123
50.83336,-0.269952
20.158256,41.299998
53.369769,-2.777729
1.387334,103.765959
26.367965,-80.104417
34.950882,-95.747761
33.813475,-117.887704
36.830598,-76.134464
39.216734,-111.89698
39.687907,-77.203494
39.500299,-106.154842
34.091847,-118.284782
41.558769,-73.049232
44.223413,-123.266529
42.219548,-70.99163
42.404121,-83.154422
38.995833,-84.506869
33.936841,-118.080015
52.615169,-1.930799
31.465066,-85.437397
50.73609,-1.849987
29.73121,-95.443982
39.83737,-86.073481
1.308718,103.894607
38.577043,-77.308701
43.4569,-84.671033
51.982347,-1.175576
33.611314,-86.682478
29.968816,-90.119601
36.92552,-121.749426
45.040119,-93.292143
41.664813,-88.174316
41.07647,-81.528325
29.513657,-98.727625
38.218382,-85.758563
32.635688,-86.326125
52.554662,-0.093174
40.150562,-74.71345
53.539325,-2.703375
-38.080858,145.206081
41.28458,-96.057203
43.956614,-86.095757
38.940604,-77.024626
39.092516,-77.075167
30.047193,-89.965015
41.710362,-88.287485
45.981912,-61.149196
45.522131,-123.109987
35.755531,-78.668892
27.952624,-82.23498
40.052272,-75.127318
28.078615,-80.64881
